Produto,Lote,"G' 0,7Hz (Pa)","G'' 0,7Hz (Pa)","tan δ 0,7Hz","η* 0,7Hz (Pa.s)",G' 1Hz (Pa),tan δ 1Hz,Classificação
Belotero Balance Lido,B0053230,33.64,23.23,0.69,8.84,37.64,0.7,Predomínio viscoso (fluido)
Up Fine Lido,S2N724010,33.66,12.28,0.36,10.54,37.92,0.41,Moderadamente elástico
Milimetric PRO Leve Lido,MLFN2410A,56.26,32.04,0.57,14.01,61.98,0.58,Predomínio viscoso (fluido)
e.p.t.q S 100 Lido,YLA25002,70.35,39.28,0.56,17.43,77.62,0.56,Predomínio viscoso (fluido)
Milimetric PRO Moderado Lido,MLM1N2503A,72.44,34.84,0.48,17.39,78.95,0.49,Moderadamente elástico
Rennova Fill Fine Lines Lido,406018,81.53,43.56,0.53,20.0,89.35,0.54,Predomínio viscoso (fluido)
Restylane Refyne Lido,23768,81.57,23.87,0.29,18.39,85.65,0.31,Moderadamente elástico
Rennova Fill Eyes Lines Lido,YLA25503,87.38,45.38,0.52,21.3,95.68,0.53,Predomínio viscoso (fluido)
Neuramis Lido,C024007A,89.7,34.31,0.38,20.78,96.02,0.38,Moderadamente elástico
Juvéderm Skinvive,"1,00309E+11",102.26,54.75,0.54,25.1,109.56,0.51,Predomínio viscoso (fluido)
Juvéderm Ultra XC Lido,1003801607,110.75,37.44,0.34,25.29,117.63,0.35,Moderadamente elástico
Rennova Fill,YLA25503,118.08,40.86,0.35,27.03,125.81,0.35,Moderadamente elástico
Sofiderm Derm Plus,250917-2,122.17,30.11,0.25,27.22,127.24,0.25,Muito elástico (sustentação)
Revanesse Ultra + Lido,250714,127.76,39.36,0.31,28.92,135.13,0.31,Moderadamente elástico
Revanesse Kiss Lido,250407,131.06,50.83,0.39,30.41,140.33,0.39,Moderadamente elástico
Restylane Volyme Lido,S2231860020,137.69,22.68,0.16,30.19,141.5,0.18,Muito elástico (sustentação)
Revanesse Contour + Lido,25C053,142.29,39.24,0.28,31.93,149.56,0.28,Muito elástico (sustentação)
Saypha Filler Lido,905018,142.61,33.52,0.24,31.69,148.34,0.25,Muito elástico (sustentação)
Sofiderm Derm,251105-2,146.72,31.23,0.21,32.45,152.04,0.22,Muito elástico (sustentação)
Revanesse Outline+ Lido,24K091,148.24,32.83,0.22,32.85,153.89,0.23,Muito elástico (sustentação)
